"Variete";"Rendement";"Huile";"Proteine";"Amidon";"Floraison";"Feuilles"
"Dent";358.053846;3.196715783;12.85128177;70.51653933;862.25;14.38930612
"Flint";329.9906647;3.896024406;12.25530191;73.39606955;914.83;14.42007535
"Tropical";341.3787598;4.051156429;13.28023625;68.0291233;1208.02;22.55
"Dent";348.48117;4.561172179;11.37932759;70.65800183;1394.93;23.7
"Dent";391.6287598;2.126156429;12.80523625;71.5041233;1162.67;20.54868882
"Dent";380.8652116;3.195744424;11.41303604;71.44132527;1228.58;19.14868882
"Tropical";335.2492532;5.53031667;13.54674449;65.92464871;1477.38;29.88535791
"Tropical";345.2492532;3.13031667;14.14674449;67.22464871;1529.58;28.02762108
"Tropical";363.48117;3.161172179;16.07932759;66.05800183;1364.59;24.98868882
"Tropical";366.2492532;3.53031667;14.34674449;66.92464871;1358.46;22.9
"Dent";302.053846;3.471715783;13.52628177;68.49153933;868.99;13.14868882
"Dent";337.303846;3.871715783;11.22628177;71.41653933;934.65;14.63161381
"Dent";355.9906647;3.796024406;10.50530191;72.99606955;898.83;14.22868882
"Flint";317.803846;3.871715783;15.70128177;65.89153933;863.84;14.15853689
"Flint";311.053846;3.921715783;14.75128177;68.61653933;879.17;13.28545996
"Dent";303.3652116;1.945744424;13.01303604;68.74132527;989.92;15.01392784
"Dent";352.553846;3.271715783;12.27628177;70.09153933;982.75;17.66868882
"Dent";325.553846;3.946715783;12.82628177;68.14153933;966.74;15.55469073
"Dent";370.053846;2.321715783;14.60128177;69.76653933;883.05;15.17007535
"Flint";344.2406647;3.396024406;14.90530191;69.94606955;853.31;14.43930612
"Dent";333.053846;4.321715783;13.05128177;70.09153933;897.24;15.34868882
"Flint";302.303846;3.046715783;13.12628177;71.06653933;830.17;12.63161381
"Dent";343.7215384;3.028686313;13.46051271;68.33661573;956.43;17.66868882
"Dent";358.3787598;3.826156429;13.30523625;67.4541233;1047.53;16.85084458
"Dent";346.053846;3.846715783;11.95128177;69.81653933;924.38;16.34419436
"Dent";289.053846;3.371715783;16.10128177;65.36653933;945.19;15.36238304
"Dent";322.1287598;2.926156429;13.98023625;67.6791233;1002.74;15.92776766
"Flint";339.803846;3.596715783;14.35128177;68.04153933;917.75;15.10868882
"Flint";333.553846;3.796715783;15.92628177;64.34153933;914.44;14.05469073
"Tropical";361.3787598;1.926156429;12.30523625;70.5541233;1056.12;20.08080725
